@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
0,1,0,2,2,3,J,Q,Q,2,2,0,1479.555944055944
0,1,0,0,3,6,7,Q,K,2,22,0,391.2307692307692
0,0,2,1,4,6,8,T,K,2,22,3,1026.802097902098
0,0,0,0,5,6,6,K,A,1,2,0,591.0769230769231
0,0,0,0,2,7,J,K,K,2,22,0,1489.6806526806527
0,0,0,0,4,5,6,8,J,2,2,0,221.6050156739812
0,1,1,2,3,8,Q,A,A,2,22,0,1931.6025641025642
0,0,0,0,2,3,4,8,T,2,2,0,302.5111888111888
0,1,0,1,8,8,9,K,A,1,2,3,1602.2435897435898
1,1,1,0,2,2,3,6,6,2,2,3,1824.5465935787001
0,0,1,1,3,T,J,Q,Q,1,1,0,1430.719114219114
0,1,0,0,6,6,8,J,A,2,3,3,590.774125874126
0,0,1,2,2,5,6,7,J,2,2,0,651.0307692307692
0,1,1,0,4,9,K,A,A,1,2,3,1123.6972027972029
0,0,0,0,3,T,J,Q,Q,2,2,0,959.5811188811189
0,1,1,1,7,9,T,T,A,3,4,4,1613.5594405594406
0,0,1,1,4,5,5,6,K,2,2,0,1162.7121212121212
0,1,1,0,3,7,J,J,K,1,1,0,1372.3531468531469
1,1,1,1,3,8,9,J,Q,2,2,3,973.8125874125874
0,0,1,0,9,J,J,Q,A,2,2,0,921.1258741258741
0,1,1,1,2,2,3,3,6,2,3,3,1172.8368298368298
0,0,0,0,5,8,9,T,J,2,3,3,1780.2
0,0,0,2,5,T,J,Q,K,1,2,3,1780.2
0,0,1,0,4,8,T,T,Q,2,22,3,1475.9825174825176
