@RELATION SimpleBotHROM

@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
c,r,rr,c,T,9,3,6,8,1,2,3,one_pair
c,r,c,rr,Q,4,7,A,6,2,22,0,one_pair
c,c,c,c,A,7,4,7,4,2,2,0,two_pairs
c,c,r,c,T,A,Q,9,8,2,3,3,high_card
c,rr,c,c,4,4,7,9,8,2,2,0,two_pairs
c,rr,c,c,7,5,J,8,T,2,2,3,high_card
c,r,c,c,3,A,9,5,4,1,2,3,one_pair
c,c,c,c,7,9,Q,T,K,2,2,0,two_pairs
c,r,r,rr,A,K,7,6,Q,2,3,3,one_pair
c,r,r,rr,7,K,7,A,8,2,2,0,two_pairs
c,c,c,c,3,2,9,3,7,1,1,0,one_pair
c,c,c,c,6,8,J,6,7,1,1,0,one_pair
c,r,r,c,2,5,Q,9,A,2,22,0,one_pair
c,c,c,c,Q,2,J,8,6,2,3,3,high_card
rr,r,c,c,9,6,T,A,4,2,2,0,one_pair
r,r,c,c,9,Q,5,4,J,1,1,0,one_pair
rr,rr,r,rr,7,4,A,T,5,2,22,3,flush
c,r,r,c,K,T,6,5,9,2,3,3,one_pair
c,c,c,c,Q,6,6,T,9,2,2,0,one_pair
c,c,r,r,4,7,4,4,9,2,2,0,three_of_a_kind
c,rr,c,c,Q,A,6,6,2,2,2,0,one_pair
c,c,c,c,4,2,T,9,4,1,2,0,one_pair
c,c,c,c,J,8,7,T,Q,1,2,0,high_card
c,c,c,c,Q,4,J,6,8,2,2,3,one_pair
c,c,c,r,Q,Q,K,5,3,1,2,3,two_pairs
c,c,c,c,6,T,J,3,7,1,2,0,one_pair
c,rr,c,r,T,3,A,Q,5,2,22,3,one_pair
c,c,c,c,5,8,7,7,8,2,2,0,two_pairs
c,r,c,c,5,K,A,2,3,2,22,3,one_pair
c,r,r,rr,K,3,A,K,A,2,2,0,full_house
c,rr,r,c,Q,2,8,A,J,2,2,3,one_pair
c,c,r,c,6,5,3,8,Q,1,2,0,one_pair
c,c,c,r,2,4,5,7,8,2,2,3,straight
c,c,r,r,K,6,5,4,9,1,2,3,one_pair
c,c,r,c,7,A,3,T,5,1,2,0,one_pair
c,c,c,c,J,A,6,6,8,1,2,0,one_pair
c,c,r,r,T,5,A,4,8,2,3,3,flush
c,c,c,r,Q,K,9,7,9,2,22,0,two_pairs
r,r,r,rr,J,3,J,2,3,1,2,3,two_pairs
c,c,c,c,J,2,6,4,7,2,22,3,high_card
c,rr,rr,c,3,2,Q,9,2,1,2,0,two_pairs
c,c,c,c,4,9,6,4,7,2,2,3,two_pairs
c,c,c,c,K,2,8,3,T,3,3,3,one_pair
c,r,r,r,5,8,K,4,5,2,22,0,two_pairs
c,c,c,c,A,T,6,Q,J,2,2,0,high_card
c,c,c,c,3,6,5,5,8,2,3,3,one_pair
c,r,c,r,3,4,A,A,9,2,2,3,two_pairs
c,c,c,c,2,6,4,J,Q,1,1,0,high_card
c,c,c,c,8,A,7,Q,8,3,3,3,one_pair
