@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE called_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE called_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE called_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE other_players_hand_rank NUMERIC
@ATTRIBUTE simplebots_hand_rank {higher,lower}
@DATA
0,1,1,0,1,0,0,1,5,6,9,T,K,2,3,3,3182,lower
0,1,0,1,0,1,0,1,6,6,9,T,Q,2,2,0,2276,higher
0,1,0,2,1,1,1,1,4,4,4,7,9,2,2,0,5154,higher
0,1,2,1,0,2,0,1,2,6,6,Q,A,2,2,0,2364,higher
0,1,0,1,0,1,0,1,2,4,4,9,T,1,2,0,1934,lower
0,1,0,1,0,1,0,1,7,8,T,J,Q,1,2,0,2496,lower
0,1,0,1,0,1,0,1,4,6,8,J,Q,2,2,3,427,higher
0,1,0,1,0,1,1,0,3,5,Q,Q,K,1,2,3,4860,lower
0,1,0,1,0,1,0,1,3,6,7,T,J,1,2,0,448,higher
0,1,2,0,0,1,1,0,3,5,T,Q,A,2,22,3,4068,lower
0,1,0,1,0,1,0,1,5,7,7,8,8,2,2,0,4360,higher
0,1,1,1,0,1,0,1,2,3,5,K,A,2,22,3,4752,lower
0,1,1,1,1,0,2,1,3,K,K,A,A,2,2,0,4992,higher
0,1,2,0,1,1,0,2,2,8,J,Q,A,2,2,3,6470,lower
0,1,0,1,1,0,0,1,3,5,6,8,Q,1,2,0,426,higher
0,1,0,1,0,1,1,1,2,4,5,7,8,2,2,3,3290,higher
0,1,0,2,1,1,1,1,4,5,6,9,K,1,2,3,3746,lower
0,1,0,1,1,0,0,2,3,5,7,T,A,1,2,0,908,higher
0,1,0,1,0,1,0,1,6,6,8,J,A,1,2,0,2356,higher
0,1,0,2,1,0,1,0,4,5,8,T,A,2,3,3,3991,higher
