@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
c,c,c,c,2,6,7,J,K,2,3,3,1223
c,r,c,r,4,T,Q,K,A,2,3,4,7049
c,rr,c,c,4,5,J,Q,K,1,2,3,3416
c,c,c,c,3,6,6,8,9,1,2,0,4418
c,rr,r,r,4,7,9,Q,A,1,2,0,3023
c,rr,c,c,8,9,K,K,A,2,2,0,4818
c,c,c,c,6,8,9,T,K,2,22,0,579
c,c,r,rr,4,6,8,9,T,1,2,0,5858
c,r,rr,c,3,4,7,Q,K,1,2,0,1878
rr,r,rr,rr,5,7,Q,Q,K,2,2,0,5709
c,c,c,c,4,5,Q,K,K,1,2,3,3910
c,c,r,c,4,7,8,J,J,2,3,3,3333
c,c,c,c,2,5,8,J,K,2,2,0,610
c,c,rr,c,3,3,5,7,K,1,2,0,4190
rr,r,c,c,2,2,6,9,K,2,3,3,1495
c,rr,r,r,4,6,7,A,A,1,2,0,4912
c,r,r,c,4,7,T,J,Q,1,2,0,2586
c,c,r,c,6,6,9,J,K,2,22,0,2375
c,r,rr,rr,5,T,Q,Q,K,2,2,3,4730
c,c,c,c,6,7,8,T,T,2,3,3,3177
c,r,c,c,3,3,4,6,9,2,2,0,4387
c,c,c,c,2,2,6,T,Q,1,2,0,1485
c,r,r,r,4,5,7,8,9,1,2,0,2921
c,rr,c,rr,3,7,K,K,A,2,2,0,4993
c,r,c,c,4,8,T,J,A,2,3,3,3456
c,r,c,c,3,6,T,Q,A,2,2,0,1265
c,r,c,rr,2,3,5,9,T,2,2,0,2857
c,c,c,c,3,5,7,8,K,3,3,3,769
c,c,r,r,2,6,7,8,K,1,1,0,2731
