@RELATION SimpleHROppModel
@ATTRIBUTE times_raised_preflop NUMERIC
@ATTRIBUTE times_called_preflop NUMERIC
@ATTRIBUTE times_raised_flop NUMERIC
@ATTRIBUTE times_called_flop NUMERIC
@ATTRIBUTE times_raised_turn NUMERIC
@ATTRIBUTE times_called_turn NUMERIC
@ATTRIBUTE times_raised_river NUMERIC
@ATTRIBUTE times_called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_1_suit {h,d,s,c}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_suit {h,d,s,c}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_suit {h,d,s,c}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_suit {h,d,s,c}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_suit {h,d,s,c}
@ATTRIBUTE hand_rank NUMERIC
@DATA
0,1,0,1,1,1,0,1,3,s,5,d,9,h,K,c,Q,s,1659
0,1,0,1,1,0,0,2,9,s,8,d,J,d,J,c,4,d,4561
0,1,0,1,0,1,2,0,2,d,8,c,3,c,5,c,4,c,6664
0,1,1,1,0,1,0,1,5,c,4,c,A,h,3,c,9,d,2560
1,0,3,0,2,1,0,1,T,s,5,h,T,c,4,d,6,c,4625
0,1,0,2,0,2,1,1,4,d,J,h,J,d,4,h,8,d,6005
0,2,0,1,0,1,0,1,Q,h,7,d,7,c,4,h,Q,c,4697
0,1,2,0,0,2,0,1,Q,h,T,s,4,s,3,h,7,s,3135
0,1,1,0,0,1,0,1,6,c,4,c,A,s,8,h,7,c,943
0,1,0,1,0,1,1,1,7,h,6,c,6,h,T,d,A,d,4914
0,1,0,1,0,1,0,1,3,s,A,c,4,d,5,c,5,d,2120
0,1,0,1,0,1,0,1,8,h,Q,s,Q,h,J,d,Q,d,5697
0,1,1,0,1,0,0,1,9,c,5,h,K,c,T,h,A,s,3915
0,1,0,1,0,1,0,1,T,c,8,c,Q,h,Q,s,Q,d,5709
0,1,2,0,1,0,1,0,9,c,3,h,A,h,K,h,6,d,4107
1,0,1,1,0,1,0,1,7,s,A,d,K,d,2,c,4,c,1266
0,1,0,1,0,1,0,1,K,h,2,s,7,s,A,s,T,s,1182
0,1,0,1,0,1,0,1,J,h,7,h,K,d,5,h,Q,s,769
2,0,0,1,0,1,0,1,7,d,Q,c,K,c,A,s,9,s,1496
0,1,1,0,2,0,1,0,K,h,6,c,9,d,3,c,K,c,4829
0,1,0,1,0,1,2,0,K,c,4,h,9,c,A,h,A,s,4939
0,1,2,0,2,0,0,1,A,c,Q,c,2,h,3,h,4,c,4045
0,1,1,1,0,1,0,1,8,d,2,c,K,s,6,h,4,d,1417
0,1,2,1,1,0,1,1,K,d,4,s,T,c,3,h,5,h,1863
0,1,0,1,2,0,1,0,7,c,T,s,5,h,4,d,A,h,4956
0,1,2,1,2,0,0,1,2,c,9,d,T,h,J,h,2,d,4617
0,2,0,1,0,1,2,0,2,c,K,d,8,h,Q,c,2,s,4642
0,1,0,1,0,1,0,1,6,d,Q,c,7,h,4,s,7,c,4301
0,1,3,0,3,0,3,0,7,c,3,d,Q,d,5,h,3,h,7201
0,1,0,1,1,0,0,1,8,h,T,c,T,s,3,d,A,d,3222
0,1,0,1,0,1,2,0,7,h,7,c,A,h,6,c,3,d,7156
0,1,2,1,0,1,0,1,T,h,T,c,8,s,5,c,6,d,3155
0,1,0,1,0,1,0,1,4,d,5,c,2,s,A,d,Q,c,4061
0,1,1,0,2,0,3,0,K,d,4,d,Q,h,K,c,3,c,7282
0,1,1,0,1,0,1,0,J,h,A,c,4,s,4,d,6,d,5192
0,1,1,1,1,1,0,1,3,d,K,h,8,d,A,c,A,s,4895
0,1,1,1,0,1,1,1,8,d,Q,s,3,d,4,d,J,h,2806
0,1,1,0,0,1,0,1,T,d,4,s,Q,s,6,s,7,c,2267
0,1,1,0,0,1,0,1,6,s,5,s,9,d,J,d,8,c,2240
0,1,0,1,0,1,0,1,8,c,Q,h,2,h,2,c,4,s,1375
0,1,0,1,0,1,0,1,9,h,3,d,8,c,4,d,4,s,1909
0,1,0,1,0,1,0,1,3,c,7,h,J,s,Q,c,6,c,2273
0,1,1,1,0,2,0,1,8,d,9,s,Q,h,Q,s,T,h,3677
0,1,0,1,1,1,0,1,A,s,7,d,6,c,9,d,5,s,2584
1,0,1,0,0,1,0,1,Q,s,6,d,5,s,5,d,3,c,2146
0,1,2,1,2,0,1,2,Q,s,T,h,6,s,2,d,9,d,3146
0,1,1,0,1,0,1,1,9,c,Q,d,K,c,J,d,7,c,3860
0,1,0,1,0,1,0,1,6,c,4,h,K,h,J,c,2,h,1273
0,1,0,1,0,1,0,1,3,s,Q,h,8,c,A,d,A,s,4133
0,1,0,1,0,1,0,1,9,d,A,c,4,h,8,s,A,s,3971
0,1,1,0,0,1,0,1,A,d,A,h,J,c,9,c,6,s,4971
1,0,1,0,1,1,1,0,7,c,9,s,T,h,T,s,K,h,4729
0,1,1,1,0,1,1,0,6,c,2,c,2,s,9,s,3,c,1424
0,1,1,0,2,0,1,1,8,c,K,s,2,h,9,c,T,h,4837
1,0,2,0,1,0,0,1,6,h,7,h,Q,d,7,c,9,h,4806
0,1,3,0,1,0,3,0,A,c,4,c,3,d,3,s,7,h,4881
0,1,1,1,0,1,1,1,A,h,3,d,6,s,A,s,J,h,4904
0,1,2,0,1,0,1,0,3,d,2,d,2,s,K,s,8,s,4752
0,1,1,0,0,1,0,1,2,c,9,s,6,c,K,h,Q,s,2099
0,1,2,0,2,0,1,1,8,c,7,d,K,s,J,s,8,s,4847
0,1,0,1,0,1,0,1,A,d,4,c,6,s,K,h,8,h,2812
0,1,2,0,1,1,2,0,T,s,5,d,9,d,J,c,3,s,4529
0,1,0,1,0,1,0,1,A,d,Q,s,9,h,K,c,Q,c,3696
0,1,0,1,0,1,0,1,3,c,A,s,7,d,7,h,K,d,4268
0,1,1,1,0,1,1,0,Q,c,Q,s,T,h,4,h,A,h,4981
0,1,0,1,0,1,0,1,3,s,T,c,6,s,2,c,A,h,907
0,1,1,0,0,2,0,1,5,c,2,c,Q,h,8,s,2,s,1374
0,1,2,0,1,0,0,1,9,d,A,h,7,s,T,d,6,h,3008
0,1,1,0,1,0,2,0,4,h,J,d,T,s,Q,c,Q,h,7269
0,1,1,1,3,0,2,0,A,c,Q,d,4,h,Q,c,4,d,7262
2,0,1,1,2,0,1,0,6,s,2,c,3,d,K,c,5,s,3871
0,1,1,1,0,2,0,1,6,d,4,d,4,c,T,c,T,d,4481
0,2,1,0,1,1,1,1,6,c,9,h,2,s,J,c,2,d,4254
0,1,0,1,1,0,0,1,5,h,8,s,3,s,6,c,3,c,1573
0,1,1,0,2,0,0,1,4,h,4,s,9,s,9,d,6,c,4400
0,1,1,0,0,1,0,1,K,h,6,h,8,c,3,c,J,s,2530
0,1,1,1,0,1,0,1,9,d,Q,c,J,d,3,h,6,c,3366
0,1,0,1,0,1,1,0,A,h,5,d,2,h,2,d,T,c,4180
0,1,1,1,1,1,2,0,K,c,J,s,4,s,5,c,J,c,5642
0,1,1,1,1,0,1,0,5,c,2,d,Q,h,K,c,5,s,4674
0,2,3,0,0,1,0,1,5,c,2,h,T,h,Q,s,4,c,3196
0,1,1,0,1,0,0,2,J,h,4,s,Q,h,K,d,8,d,4564
0,1,1,0,1,0,2,0,A,h,K,c,5,s,4,h,3,h,4906
0,1,0,2,1,1,2,0,J,c,T,c,9,s,5,h,2,h,4177
0,1,0,1,0,1,0,1,4,s,6,h,7,s,9,d,2,h,1746
0,1,2,1,0,2,1,1,2,c,T,d,K,s,J,s,9,d,4531
0,1,0,1,0,1,0,1,3,c,Q,s,3,d,J,c,7,c,4651
0,1,0,1,0,1,0,1,8,c,8,h,4,h,K,s,T,s,4520
1,0,2,0,2,0,1,1,Q,h,6,s,A,s,2,d,Q,d,4977
0,1,1,1,1,0,0,1,K,d,T,h,A,s,9,c,9,s,3036
0,1,1,0,1,0,1,0,4,d,5,s,T,d,K,s,4,s,5179
0,1,1,1,0,2,1,2,K,d,J,c,8,c,4,d,A,d,1715
0,1,0,1,0,1,0,1,J,d,3,c,J,c,4,d,4,s,4565
0,1,1,2,0,2,1,2,T,d,K,d,T,s,2,s,4,c,4509
0,1,0,1,0,1,0,1,3,s,9,c,Q,c,J,h,4,d,1881
1,0,0,1,0,1,0,1,T,d,8,s,6,c,3,h,3,d,1660
0,1,0,1,0,1,1,1,2,s,8,h,6,d,J,c,T,s,3191
0,1,0,1,0,1,0,1,4,s,J,d,3,h,2,d,2,h,1347
0,1,0,1,0,1,0,1,Q,c,K,d,Q,d,5,s,T,c,3695
0,1,1,2,1,1,0,1,2,d,A,d,6,d,Q,c,9,h,2364
1,0,1,0,3,0,1,0,6,s,6,h,5,s,T,s,K,c,7240
0,1,2,0,0,1,2,0,6,c,8,h,K,h,A,c,9,c,4829
0,2,1,1,0,1,0,1,2,c,J,d,8,d,3,d,8,c,2752
0,1,0,1,0,1,0,1,Q,d,T,s,9,c,2,h,T,d,4464
0,1,2,0,1,0,1,0,J,h,J,s,2,h,T,d,3,s,7160
0,1,0,1,0,1,0,1,K,s,6,s,5,h,J,c,K,c,3860
0,1,0,1,2,0,0,1,5,d,4,s,3,h,2,s,7,d,5853
0,1,0,1,2,0,0,1,J,h,3,d,4,s,K,d,9,c,2531
0,1,1,0,0,1,0,1,J,h,5,d,K,c,Q,c,6,h,4245
0,1,2,0,1,1,2,0,A,c,7,h,7,s,7,c,5,c,7211
0,1,0,1,2,0,2,0,J,s,4,h,Q,h,T,c,Q,c,5862
0,1,1,0,1,0,0,1,9,h,3,h,J,d,6,s,J,c,3420
0,1,0,2,0,2,0,1,4,h,2,c,K,h,3,c,9,h,1871
0,1,0,1,0,1,0,1,2,h,J,c,8,s,T,h,5,d,1111
0,1,0,1,0,1,0,1,2,h,K,s,2,d,Q,h,7,s,1440
0,1,0,1,0,1,0,1,Q,c,6,h,9,d,A,h,7,c,1075
0,1,0,1,0,1,0,1,2,d,K,h,A,h,K,d,4,c,3870
0,1,0,1,2,0,2,0,2,h,6,h,9,s,5,c,4,d,5854
0,1,2,0,1,0,0,2,A,c,4,h,6,h,T,s,3,h,2348
0,1,1,1,0,2,0,1,2,c,7,s,6,h,9,c,3,h,2232
0,1,0,1,0,1,0,1,J,s,7,h,4,c,A,s,2,d,1090
0,1,0,1,0,1,0,1,4,d,Q,c,4,h,K,h,K,s,4773
0,1,1,2,1,0,0,1,6,c,A,h,8,c,2,s,9,d,1196
1,0,3,0,2,0,3,0,K,c,Q,c,A,d,5,s,Q,d,5862
0,1,2,1,1,0,0,1,2,s,7,c,J,h,2,d,T,d,1432
0,1,1,0,1,1,1,0,Q,h,T,d,3,s,2,c,A,c,4981
0,1,0,1,1,0,0,1,7,c,6,h,T,s,6,c,3,h,4242
0,1,0,1,1,0,1,0,T,s,9,h,Q,c,3,d,2,d,3558
0,1,0,1,0,1,0,1,6,h,A,h,2,h,Q,c,5,d,3691
0,1,0,1,0,1,0,1,3,s,4,s,2,h,9,d,T,h,660
0,1,0,1,0,1,0,1,T,d,5,s,J,s,5,h,6,c,4188
0,1,0,1,0,1,0,1,4,h,A,c,2,d,3,d,9,s,1696
0,1,0,1,0,1,0,1,T,d,2,c,3,d,6,d,2,h,1357
0,1,0,1,0,1,0,1,2,h,6,s,9,c,K,s,3,s,569
0,1,0,1,0,1,1,1,6,c,J,c,8,c,5,s,K,c,6471
0,1,0,1,0,1,0,1,T,c,8,c,7,h,3,h,4,c,886
0,1,1,0,2,1,0,2,2,d,2,s,4,s,4,h,9,h,4197
0,1,0,1,0,1,0,1,5,h,3,c,A,c,7,d,T,d,1183
0,1,1,1,1,1,0,1,8,d,T,d,4,s,9,d,A,s,4400
0,1,1,0,2,1,1,0,6,h,3,c,3,s,8,s,5,d,4323
0,1,2,0,2,0,1,0,8,d,A,h,A,d,3,h,4,s,7286
0,1,0,1,0,1,0,1,K,c,4,c,3,d,5,s,2,d,5853
0,1,0,2,1,0,2,0,4,c,6,s,A,c,8,d,3,c,5856
0,1,1,0,2,1,2,1,A,h,8,h,K,c,J,c,7,d,4124
0,1,0,1,0,1,0,1,9,s,Q,c,Q,s,T,c,6,d,4684
0,1,1,1,0,1,1,0,3,h,5,d,3,s,2,s,9,h,1696
0,1,0,2,0,2,0,2,3,h,K,d,2,d,7,c,4,h,1625
0,1,0,1,0,1,0,1,4,h,3,h,J,c,5,h,A,h,4032
0,1,2,1,1,2,0,2,4,s,J,c,9,d,J,d,8,h,3404
